effMin0p9 OptionY0 : FM=50.4272 - THR=37 - ACC=0.635366 - FMtACC=32.0398
effMin0p9 OptionI0 : FM=50.4272 - THR=37 - ACC=0.635366 - FMtACC=32.0398
effMin0p9 OptionV2 : FM=50.422 - THR=37 - ACC=0.635252 - FMtACC=32.0306
effMin0p9 OptionF2 : FM=50.422 - THR=37 - ACC=0.635252 - FMtACC=32.0306
effMin0p9 OptionP1 : FM=50.422 - THR=37 - ACC=0.635252 - FMtACC=32.0306
effMin0p9 OptionZ0 : FM=50.422 - THR=37 - ACC=0.635252 - FMtACC=32.0306
effMin0p9 OptionJ0 : FM=50.422 - THR=37 - ACC=0.635252 - FMtACC=32.0306
effMin0p8 OptionT0 : FM=50.391 - THR=37 - ACC=0.634602 - FMtACC=31.9782
effMin0p8 OptionD0 : FM=50.391 - THR=37 - ACC=0.634602 - FMtACC=31.9782
effMin0p7 OptionA0 : FM=50.3556 - THR=37 - ACC=0.634115 - FMtACC=31.9313
effMin0p9 OptionM3 : FM=50.3203 - THR=37 - ACC=0.633963 - FMtACC=31.9012
effMin0p9 OptionW2 : FM=50.3203 - THR=37 - ACC=0.633963 - FMtACC=31.9012
effMin0p9 OptionG2 : FM=50.3203 - THR=37 - ACC=0.633963 - FMtACC=31.9012
effMin0p9 OptionQ1 : FM=50.3203 - THR=37 - ACC=0.633963 - FMtACC=31.9012
effMin0p9 OptionA1 : FM=50.3203 - THR=37 - ACC=0.633963 - FMtACC=31.9012
effMin0p9 OptionK0 : FM=50.3203 - THR=37 - ACC=0.633963 - FMtACC=31.9012
